generator,width_tiles,height_tiles,teams,classification,successful_seeds,rejected_seeds,other_seeds,missing_seeds
34,128,128,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,128,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,128,4,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,128,5,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,128,6,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,128,7,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,128,8,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,256,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,256,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,256,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,256,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,256,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,256,7,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,256,8,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
34,128,512,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,128,512,8,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
